Category,Sub-Category,Sub-Sub-Category,Tools,L1,L2,L3
Analytics,Visualization,Dashboarding,Qlik Sense/Qlik view,"* Navigate Qlik dashboards and sheets
* Use basic chart types: bar, pie, line
* Apply filters and selections to explore data
* Understand Qlik’s associative data model
* Load simple datasets using Data Manager (Qlik Sense)
* Export visuals and tables for reporting","* Create dashboards with multiple sheets and interactive objects
* Use advanced visualizations: combo charts, KPI objects, maps
* Build and manage data models using joins and concatenations
* Write basic Qlik script for data transformation
* Use set analysis for dynamic filtering
* Schedule data reloads and manage app publishing","* Design scalable dashboards for large datasets
* Implement section access for data security
* Use advanced set analysis and variables
* Build custom extensions and visualizations using JavaScript
* Automate dashboard distribution via NPrinting
* Integrate dashboards into portals or third-party apps
* Apply design best practices for executive-level storytelling"
Analytics,Visualization,Dashboarding,IBM Cognos,"* Understands the basics of IBM Cognos dashboards.
* Can navigate the dashboard interface and use existing dashboards.
* Applies simple filters and views to analyze data.","* Creates custom dashboards using Cognos Dashboarding tools.
* Implements interactive elements like filters, drill-downs, and basic KPIs
*  Ensures dashboards meet business requirements and are visually clear.","* Designs enterprise-level dashboards with complex data models.
* Integrates multiple data sources for real-time insights.
* Optimizes dashboard performance and applies advanced visualization techniques.
* Advises on dashboard strategy and governance for large-scale deployments."
Analytics,Visualization,Charts and Graphs,D3.js,"* Understand the purpose and structure of D3.js
* Set up a basic D3 environment (HTML + JS)
* Create simple static charts (bar, line, pie)
* Bind data to DOM elements using .data() and .enter()
* Apply basic styling with CSS
* Load data from CSV or JSON files","* Create interactive charts with tooltips, hover effects, and transitions
* Use scales (d3.scaleLinear, d3.scaleBand, etc.) and axes
* Handle dynamic data updates and transitions
* Build responsive visualizations that adapt to screen size
* Use modular code and reusable chart components
* Integrate D3 with external data sources (APIs, JSON)","* Build complex visualizations (hierarchical, network, radial, force-directed graphs)
* Optimize performance for large datasets
* Implement zooming, panning, and brushing interactions
* Integrate D3 with frontend frameworks (React + D3, Vue + D3)
* Create custom reusable chart libraries
* Apply advanced animation and storytelling techniques"
Analytics,Visualization,Charts and Graphs,MatPlotLib,"* Import and use matplotlib.pyplot
* Create basic charts: line, bar, pie
* Label axes and add titles
* Customize colors and styles
* Save plots as image files
* Display plots inline in notebooks","* Create multiple plots using subplot() and subplots()
* Customize ticks, legends, and gridlines
* Use data from Pandas DataFrames
* Apply styles and themes (plt.style.use)
* Annotate charts with text and arrows
* Handle categorical and time series data","* Create complex visualizations (stacked plots, histograms, scatter matrices)
* Build animated plots using FuncAnimation
* Use 3D plotting with Axes3D
* Integrate Matplotlib with interactive tools (e.g., widgets in Jupyter)
* Optimize plots for publication-quality visuals
* Customize backends for rendering (e.g., Agg, TkAgg)"
Analytics,Visualization,Data Story telling,Power BI bookmarks and Narratives,"* Create basic visuals (bar, line, pie) with clear titles and labels
* Use slicers and filters to guide user exploration
* Add text boxes and shapes to annotate dashboards
* Understand the purpose of bookmarks and storytelling in dashboards
* Share dashboards with basic narrative flow","* Create bookmarks to capture specific views or filter states
* Use buttons to navigate between bookmarks (e.g., “Next”, “Back”, “Details”)
* Organize visuals using the selection pane for layered storytelling
* Use tooltips and drill-through pages to add depth to the story
* Apply themes and layout consistency for visual clarity
* Tailor dashboards for different audiences (e.g., executives vs analysts)","* Build dynamic narratives using conditional formatting and DAX-driven visuals
* Automate storytelling elements (e.g., dynamic headlines, alerts)
* Create paginated reports for printable storytelling formats
* Embed dashboards with guided navigation in portals or presentations
* Implement row-level security for personalized storytelling
* Apply storytelling frameworks (e.g., SCQA, Pyramid Principle) in dashboard design"
Analytics,Visualization,Data Story telling,D3.js,"* Understand the purpose of data storytelling and D3.js
* Set up a basic D3 environment (HTML + JS)
* Create simple static charts (bar, line, pie)
* Bind data to DOM elements using .data() and .enter()
* Add basic labels, titles, and tooltips
* Load data from CSV or JSON files","* Create interactive charts with hover effects, transitions, and tooltips
* Use scales and axes to structure visual narratives
* Build multi-step visual stories using scroll or click interactions
* Annotate visuals with dynamic text and highlights
* Integrate external datasets and APIs for real-time storytelling
* Apply storytelling principles (e.g., context, contrast, clarity)","* Build scroll-driven or animated data stories (scrollytelling)
* Create complex visualizations (e.g., network graphs, timelines, radial plots)
* Implement zooming, panning, and brushing for deep data exploration
* Integrate D3 with frontend frameworks for modular storytelling
* Optimize performance for large datasets and mobile responsiveness
* Apply advanced storytelling frameworks (e.g., narrative arcs, tension/resolution)"
Data Engineering,Data Collection Acquisition,DataSources,Database - MySQL,"* Understand relational database concepts (tables, rows, columns)
* Connect to a MySQL database using GUI or CLI
* Run basic SQL queries: SELECT, WHERE, ORDER BY, LIMIT
* Export and import data using CSV files
* Understand basic data types (INT, VARCHAR, DATE)
* Perform simple filtering and sorting","* Write complex SQL queries with JOIN, GROUP BY, HAVING, UNION
* Create and manage views for reporting
* Use stored procedures and functions for data transformation
* Schedule data extraction jobs
* Connect MySQL to BI tools (Power BI, Tableau, Looker)
* Handle data quality issues (nulls, duplicates, type mismatches)","* Design normalized and denormalized schemas for analytics
* Optimize queries using indexing and execution plans
* Implement data security (user roles, access control)
* Automate data pipelines using orchestration tools
* Integrate MySQL with real-time data sources and APIs
* Monitor and troubleshoot performance issues"
Data Engineering,Data Collection Acquisition,DataSources,Database - Cloud SQL,"* Understand what Cloud SQL is and its role in data engineering
* Connect to Cloud SQL using GUI tools or command line
* Run basic SQL queries (SELECT, WHERE, ORDER BY)
* Import/export data using CSV files
* Understand basic database structure (tables, schemas, data types)
* Set up basic Cloud SQL instance and user access","* Write complex SQL queries (JOIN, GROUP BY, UNION)
* Connect Cloud SQL to BI tools (Power BI, Tableau, Looker)
* Use Python/R to extract and transform data from Cloud SQL
* Schedule data ingestion jobs using Cloud Scheduler or workflows
* Manage access control using IAM roles
* Monitor query performance and optimize data retrieval","* Design normalized and denormalized schemas for analytics
* Automate data pipelines using orchestration tools (e.g., Airflow, Cloud Composer)
* Implement encryption, backups, and failover strategies
* Optimize queries and indexing for performance
* Integrate Cloud SQL with real-time data sources and APIs
* Apply security best practices (SSL, private IP, IAM policies)"
Data Engineering,Data Collection Acquisition,DataSources,Database - Oracle Database,"* Understand Oracle database structure (schemas, tables, columns)
* Connect to Oracle DB using GUI tools
* Run basic SQL queries: SELECT, WHERE, ORDER BY, LIMIT
* Export/import data using CSV or SQL scripts
* Understand basic data types (NUMBER, VARCHAR2, DATE)
* Use DESCRIBE and SELECT * for data exploration","* Write complex SQL queries (JOIN, GROUP BY, HAVING, UNION)
* Create and manage views, indexes, and sequences
* Use PL/SQL for stored procedures and functions
* Schedule and monitor data extraction jobs
* Integrate Oracle with BI tools (Power BI, Tableau, Looker)
* Handle data quality issues (nulls, duplicates, type mismatches)","* Design normalized and denormalized schemas for analytics
* Optimize queries using indexing, partitions, and execution plans
* Implement data security (roles, privileges, VPD)
* Automate data pipelines using PL/SQL and orchestration tools
* Integrate Oracle with real-time data sources and APIs
* Monitor performance using AWR, ASH, and Oracle Enterprise Manager"
Data Engineering,Data Collection Acquisition,DataSources,Database - Maria DB,"* Understand relational database concepts (tables, rows, columns)
* Connect to MariaDB using GUI or CLI
* Run basic SQL queries: SELECT, WHERE, ORDER BY, LIMIT
* Import/export data using CSV or SQL dump
* Understand basic data types (INT, VARCHAR, DATE)
* Perform simple filtering and sorting","* Write complex SQL queries (JOIN, GROUP BY, HAVING, UNION)
* Create and manage views, indexes, and stored procedures
* Use triggers for basic automation
* Connect MariaDB to BI tools (Power BI, Tableau, Looker)
* Schedule data extraction jobs
* Handle data quality issues (nulls, duplicates, type mismatches)","* Design normalized and denormalized schemas for analytics
* Optimize queries using indexing, partitioning, and EXPLAIN plans
* Implement user roles, privileges, and SSL-based security
* Automate data pipelines using orchestration tools
* Integrate MariaDB with real-time data sources and APIs
* Monitor performance and manage replication or clustering"
Data Engineering,Data Collection Acquisition,DataSources,Database -SQLite,"* Understand SQLite as a file-based relational database
* Create and connect to .sqlite or .db files
* Run basic SQL queries: SELECT, WHERE, ORDER BY, LIMIT
* Create simple tables and insert data
* Export/import data using CSV
* Use SQLite in local development environments","* Write complex SQL queries (JOIN, GROUP BY, HAVING, UNION)
* Use SQLite with Pandas or R for data analysis
* Create and manage indexes, views, and triggers
* Integrate SQLite with lightweight applications or dashboards
* Handle data quality issues (nulls, duplicates, type mismatches)
* Automate data extraction and transformation scripts","* Design normalized schemas for embedded or mobile applications
* Use SQLite extensions for full-text search, JSON, or geospatial data
* Optimize performance with indexing and query tuning
* Implement data encryption and access control (e.g., SQLCipher)
* Sync SQLite with cloud or remote databases
* Embed SQLite in production-grade applications (mobile, IoT, desktop)"
Data Engineering,Data Collection Acquisition,DataSources,ERP Systems - Oracle financials,"* Understand Oracle Financials modules (GL, AP, AR, PO, etc.)
* Navigate standard reports and dashboards
* Export data from Oracle reports to Excel/CSV
* Run basic SQL queries on ERP views (read-only)
* Understand ERP table structures and naming conventions
* Identify key financial data entities (e.g., invoices, journals, ledgers)","* Write SQL queries to extract data from ERP base tables and views
* Use BI Publisher to create custom reports and data models
* Integrate Oracle ERP data into data warehouses or BI tools
* Schedule and automate data extraction jobs
* Handle joins across modules (e.g., GL to AP, PO to Inventory)
* Understand data security and access roles in Oracle ERP","* Design scalable data pipelines from Oracle ERP to cloud data platforms
* Use Oracle APIs and FBDI (File-Based Data Import) for data exchange
* Implement real-time data replication using GoldenGate
* Apply data governance and lineage tracking for ERP data
* Automate data workflows using orchestration tools
* Optimize performance of ERP data extraction and transformation"
Data Engineering,Data Collection Acquisition,DataSources,ERP Systems - SAP,"* Understand SAP modules (FI, CO, MM, SD, HR, etc.)
* Navigate SAP GUI to access standard reports and tables
* Export data from SAP to Excel or CSV
* Use transaction codes (e.g., SE16N, SQ01, SQVI) to view data
* Identify key SAP tables and fields (e.g., BKPF, BSEG, MARA)
* Understand basic SAP data structures and relationships","* Extract data from SAP tables using custom queries or views
* Use SAP BW InfoProviders or CDS Views for reporting
* Integrate SAP data into data lakes or warehouses
* Schedule and automate data extraction jobs
* Handle SAP-specific data types and formats (e.g., ALPHA conversion)
* Understand SAP authorization concepts for data access","* Design scalable pipelines from SAP to cloud platforms (e.g., BigQuery, Snowflake)
* Use SAP OData/BAPI services for real-time data integration
* Implement data governance and lineage for SAP data
* Optimize performance of SAP data extraction (e.g., delta loads, parallel processing)
* Automate workflows using orchestration tools (e.g., Airflow, SAP CPI)
* Secure and audit SAP data pipelines with compliance standards"
Data Engineering,Data Collection Acquisition,DataSources,ERP Systems - Microsoft ERP,"* Understand core Dynamics 365 modules (Finance, SCM, Sales, HR)
* Navigate standard reports and dashboards
* Export data from Dynamics to Excel or CSV
* Use filters and views to explore transactional data
* Identify key entities (e.g., customers, vendors, invoices, journals)","* Use OData endpoints to extract data from Dynamics 365
* Connect Dynamics data to Power BI or Excel using Power Query
* Schedule data refreshes and automate data pulls using Power Automate
* Understand and use standard and custom data entities
* Perform joins and transformations using Power Query or SQL
* Handle data quality and mapping issues across modules","* Design scalable pipelines from Dynamics 365 to cloud data platforms
* Use APIs and Data Export Service for near real-time integration
* Implement data governance, lineage, and security policies
* Optimize performance of data extraction and transformation
* Automate workflows across ERP, CRM, and external systems
* Integrate Dynamics data with enterprise data lakes and warehouses"
Data Engineering,Data Collection Acquisition,DataSources,ERP Systems - NetSuite ERP,"* Navigate NetSuite modules (Finance, CRM, Inventory, etc.)
* Run and export standard reports and saved searches
* Understand key NetSuite record types (e.g., transactions, customers, vendors)
* Use filters and criteria in saved searches
* Export data to Excel or CSV for analysis
* Understand NetSuite’s role in the data ecosystem","* Create custom saved searches and summary reports
* Use SuiteAnalytics Workbooks for data exploration
* Connect NetSuite to external tools using ODBC/JDBC
* Schedule and automate data exports
* Integrate NetSuite data into data warehouses or BI tools
* Handle data joins across modules (e.g., Sales Orders to Invoices)","* Build custom data extraction scripts using SuiteScript
* Use SuiteTalk APIs for real-time or batch data integration
* Automate data pipelines from NetSuite to cloud platforms (e.g., Snowflake, BigQuery)
* Implement data governance and security (role-based access, audit trails)
* Optimize performance of saved searches and API calls
* Monitor and troubleshoot integration workflows"
Data Engineering,Data Collection Acquisition,DataSources,ERP Systems - Tally ERP,"* Understands basic Tally ERP modules (Accounting, Inventory).
* Can manually export data (Excel, PDF).
* Performs basic data cleaning using Excel.
* Knows simple reporting techniques.
* Aware of basic data privacy principles.
* Follows instructions and documents basic steps.","* Understands data relationships within Tally (e.g., ledgers, vouchers).
* Uses ODBC/XML interfaces and connector tools for data extraction.
* Applies ETL tools for structured data transformation.
* Loads data into staging tables in data warehouses.
* Builds dashboards using BI tools (Power BI, Looker Studio).
* Implements role-based access and collaborates with teams.","* Deep knowledge of Tally’s internal schema and customization.
* Automates data extraction using APIs and scripting (e.g., Python).
* Designs scalable data pipelines with error handling.
* Maintains full ETL workflows into enterprise data warehouses.
* Creates dynamic, automated reporting systems.
* Ensures compliance with security standards and leads data initiatives."
Data Engineering,Data Collection Acquisition,DataSources,Unstructured Data - Microsoft Documents,"* Understands basic types of unstructured data (Word, Excel, PDFs).
* Can manually locate and open documents for data review.
* Performs basic copy-paste or manual extraction of data.
* Uses simple Excel functions for organizing extracted data.
* Aware of file formats and basic storage practices.","* Identifies relevant data within unstructured documents using search and filters.
* Uses tools like Power Query, Python (pandas), or Excel macros for semi-automated extraction.
* Cleans and structures data for analysis (e.g., tabular format).
* Understands metadata and document properties.
* Collaborates with teams to standardize document formats and naming conventions.","* Automates data extraction using NLP or document parsing libraries (e.g., Python with docx, pdfplumber, openpyxl).
* Designs workflows to convert unstructured data into structured formats for databases or dashboards.
* Implements document classification and tagging systems.
* Ensures data quality, version control, and compliance in document handling.
* Leads initiatives to integrate unstructured data into enterprise data platforms."
Data Engineering,Data Collection Acquisition,DataSources,Unstructured Data - Image Data,"* Recognizes basic image file formats (JPEG, PNG, TIFF).
* Manually reviews images for visible data (e.g., scanned invoices, receipts).
* Uses basic tools (e.g., Snipping Tool, Paint) to extract or annotate data.
* Understands limitations of image data in analysis.
* Aware of basic image storage and organization practices.","* Uses OCR tools (e.g., Tesseract, Adobe Acrobat) to extract text from images.
* Applies image pre-processing techniques (e.g., resizing, contrast adjustment).
* Cleans and structures extracted data for use in spreadsheets or databases.
* Understands image metadata (e.g., resolution, timestamps).
* Collaborates with teams to standardize image formats and naming conventions.","* Automates image data extraction using advanced OCR and computer vision libraries (e.g., OpenCV, EasyOCR).
* Designs pipelines to process large volumes of image data efficiently.
* Integrates image data into structured databases or analytics platforms.
* Implements quality checks, version control, and compliance for image data.
* Leads initiatives involving image classification, tagging, and AI-based recognition."
Data Engineering,Data Collection Acquisition,DataSources,Unstructured Data - Azure Blob Storage,"* Understands what Azure Blob Storage is and its role in storing unstructured data.
* Can manually upload/download files using Azure Portal.
* Recognizes basic blob types (Block, Append, Page).
* Aware of file formats commonly stored (e.g., images, documents, logs).
* Follows basic naming and folder conventions.","* Uses Azure Storage Explorer or CLI to manage blobs.
* Applies filters and metadata to organize and retrieve blobs.
* Extracts data from blobs using scripts or tools (e.g., Python with azure-storage-blob).
* Understands access tiers and lifecycle management.
* Collaborates with teams to define blob structure and access policies.","* Automates blob data ingestion into data pipelines using Azure Functions, Logic Apps, or Data Factory.
* Implements secure access using SAS tokens, RBAC, and encryption.
* Designs scalable workflows for processing large volumes of unstructured blob data.
* Integrates blob data with analytics platforms (e.g., Synapse, Databricks).
* Leads governance, compliance, and optimization strategies for blob storage usage."
Data Engineering,Data Collection Acquisition,DataSources,Unstructured Data -  PDF,"* Understands what PDF files are and their common use cases (e.g., invoices, reports).
* Can manually open and review PDF documents.
* Performs basic copy-paste operations to extract data.
* Uses simple tools like Adobe Reader or browser-based viewers.
* Aware of file organization and naming conventions.","* Uses PDF extraction tools (e.g., Adobe Acrobat, Tabula, Power BI PDF connector).
* Applies semi-automated methods to extract tabular or textual data.
* Cleans and structures extracted data using Excel or scripting tools.
* Understands PDF metadata and document properties.
* Collaborates with teams to standardize PDF formats for easier processing.","* Automates PDF data extraction using libraries like pdfplumber, PyMuPDF, or PDFMiner.
* Designs workflows to process large volumes of PDFs efficiently.
* Integrates extracted data into structured databases or analytics platforms.
* Implements document classification, tagging, and version control.
* Ensures compliance with data governance and leads initiatives for intelligent document processing (IDP)."
Data Engineering,Data Collection Acquisition,DataSources,API PostMan -  Postman,"* Understands what APIs are and their role in data exchange.
* Can use Postman to send basic GET requests.
* Reads simple JSON responses and identifies key-value pairs.
* Manually copies response data for analysis.
* Aware of basic API documentation and endpoints.","* Uses Postman to send various request types (GET, POST, PUT, DELETE).
* Adds headers, query parameters, and body payloads to requests.
* Extracts and saves response data using Postman collections and environments.
* Understands authentication methods (e.g., API keys, Bearer tokens).
* Collaborates with developers to test and refine API endpoints.","* Automates API workflows using Postman scripts (Pre-request & Tests).
* Integrates Postman with CI/CD tools or data pipelines.
* Handles complex authentication (OAuth 2.0, JWT).
* Parses and transforms API responses for direct integration into databases or dashboards.
* Leads API documentation reviews and contributes to API design for data engineering needs."
Data Engineering,Data Collection Acquisition,DataSources,API PostMan -  Swagger,"* Understands basic concepts of APIs and RESTful services.
* Can use Postman to send simple GET requests and view responses.
* Opens Swagger UI to explore available endpoints.
* Reads basic JSON responses and identifies key fields.
* Aware of API documentation and its purpose.","* Uses Postman to send various request types (GET, POST, PUT, DELETE) with headers and payloads.
* Navigates Swagger UI to test endpoints and understand parameters.
* Extracts and saves response data for analysis.
* Understands authentication methods (API keys, Bearer tokens).
* Collaborates with developers to troubleshoot and refine API usage.","* Automates API workflows using Postman scripting and environments.
* Integrates Swagger-generated client code into data pipelines.
* Handles complex authentication (OAuth 2.0, JWT) and error handling.
* Parses and transforms API responses for direct integration into databases or dashboards.
* Leads API integration strategies and contributes to API design and documentation."
Data Engineering,Data Collection Acquisition,DataSources,API PostMan -  GIThub/ Jenkins,"* Understands basic API concepts and how Postman is used for testing.
* Can send simple requests (GET/POST) and view responses in Postman.
* Aware of GitHub as a code repository and Jenkins as an automation tool.
* Manually saves and shares Postman collections.
* Understands basic version control principles.","* Uses Postman to test authenticated APIs and manage environments.
* Stores and versions Postman collections in GitHub.
* Triggers Jenkins jobs manually for testing or deployment.
* Collaborates with developers to integrate API testing into workflows.
* Understands CI/CD concepts and how Postman fits into automated pipelines.","* Automates API testing using Postman scripts and integrates with Jenkins pipelines.
* Uses GitHub Actions or Jenkins to run Postman tests on code commits or pull requests.
* Implements dynamic environments and data-driven testing in Postman.
* Designs CI/CD workflows that include API validation and monitoring.
* Leads DevOps integration for data engineering pipelines involving APIs."
Data Engineering,Data Collection Acquisition,DataSources,API PostMan -  AWS API Gateway / Azure API Management / Apigee,"* Understands basic API concepts and the role of API gateways.
* Can send simple requests using Postman to public endpoints.
* Aware of what AWS API Gateway, Azure API Management, and Apigee are.
* Reads basic JSON responses and identifies key fields.
* Understands basic API documentation and endpoint structure.","* Uses Postman to test authenticated APIs deployed on AWS, Azure, or Apigee.
* Understands how to configure headers, tokens, and parameters for gateway-managed APIs.
* Navigates Swagger/OpenAPI documentation linked to gateway endpoints.
* Collaborates with developers to troubleshoot gateway-related issues.
* Understands rate limiting, throttling, and basic security policies.","* Automates API testing and integrates Postman with CI/CD pipelines for gateway-managed APIs.
* Designs and manages APIs using AWS API Gateway, Azure API Management, or Apigee.
* Implements advanced security (OAuth 2.0, JWT, API keys) and traffic control policies.
* Monitors API performance and logs using gateway analytics tools.
* Leads API lifecycle management and contributes to enterprise API strategy."
Data Engineering,Data Collection Acquisition,ETL,Talend,"* Understands basic ETL concepts (Extract, Transform, Load).
* Can navigate Talend Studio interface and open sample jobs.
* Uses built-in components for simple data extraction (e.g., CSV, Excel).
* Performs basic transformations like filtering and mapping.
* Loads data into flat files or basic databases (e.g., MySQL).","* Designs ETL workflows using Talend components for multiple data sources.
* Connects to structured and semi-structured sources (e.g., APIs, XML, JSON).
* Implements error handling and logging in ETL jobs.
* Schedules jobs using Talend scheduler or external tools.
* Collaborates with teams to optimize data flow and performance.","* Develops complex, scalable ETL pipelines integrating cloud and on-premise systems.
* Uses Talend for real-time data processing and big data integration (e.g., Hadoop, Spark).
* Implements advanced transformations, joins, and lookups.
* Integrates Talend with CI/CD tools (e.g., Jenkins, GitHub).
* Leads data governance, metadata management, and performance tuning initiatives."
